"title","author","journal","number","cites","year","cid","pubid","citation"
"Exposure to ambient particulate matter during pregnancy: Associations with birth weight in Thailand","W Mueller, M Loh, S Vardoulakis, HJ Johnston, S Steinle, N Precha, ...","ISEE Conference Abstracts","2020 (1)",0,2020,NA,NA,"W Mueller, M Loh, S Vardoulakis, HJ Johnston, S Steinle, N Precha, ... (2020) Exposure to ambient particulate matter during pregnancy: Associations with birth weight in Thailand.ISEE Conference Abstracts, 2020 (1)"
"Neighbourhood and trip-based greenspace in four European areas: Associations with physical activity","W Mueller, S Steinle, J Pärkkä, E Parmes, L Cluitmans, E Kuijpers, ...","ISEE Conference Abstracts","2020 (1)",0,2020,NA,NA,"W Mueller, S Steinle, J Pärkkä, E Parmes, L Cluitmans, E Kuijpers, ... (2020) Neighbourhood and trip-based greenspace in four European areas: Associations with physical activity.ISEE Conference Abstracts, 2020 (1)"
"Health effects of greenspace on outdoor physical activity and indoor PM2. 5 and noise: A case study of four European cities","W Mueller, S Steinle, J Pärkkä, E Parmes, H Liedes, E Kuijpers, ...","Environmental Epidemiology","3, 277",0,2019,NA,NA,"W Mueller, S Steinle, J Pärkkä, E Parmes, H Liedes, E Kuijpers, ... (2019) Health effects of greenspace on outdoor physical activity and indoor PM2. 5 and noise: A case study of four European cities.Environmental Epidemiology, 3, 277"
"The Exposome Paradigm and its Applications in Health and Safety Aspects of Hydrocarbons Operations in the Eastern Mediterranean: The EXPOSOGAS project","K Makris, K Galea, A Pronk, W Fransman, M Loh, R Stierum","Environmental Epidemiology","3, 257",0,2019,NA,NA,"K Makris, K Galea, A Pronk, W Fransman, M Loh, R Stierum (2019) The Exposome Paradigm and its Applications in Health and Safety Aspects of Hydrocarbons Operations in the Eastern Mediterranean: The EXPOSOGAS project.Environmental Epidemiology, 3, 257"
"Does greenspace mitigate air pollution and motivate physical activity?: A case study of four European cities","W Mueller, M Loh, S Steinle, J Pärkkä, E Parmes, H Liedes, E Kuijpers, ...","World Conference on Forests for Public Health","",0,2019,NA,NA,"W Mueller, M Loh, S Steinle, J Pärkkä, E Parmes, H Liedes, E Kuijpers, ... (2019) Does greenspace mitigate air pollution and motivate physical activity?: A case study of four European cities.World Conference on Forests for Public Health, "
"Examining the role of greenspace to mitigate air pollution and motivate physical activity in four European cities","W Mueller, S Steinle, J Pärkkä, E Parmes, H Liedes, E Kuijpers, ...","","12th UK & Ireland Occupational & Environmental Epidemiology meeting",0,2019,NA,NA,"W Mueller, S Steinle, J Pärkkä, E Parmes, H Liedes, E Kuijpers, ... (2019) Examining the role of greenspace to mitigate air pollution and motivate physical activity in four European cities., 12th UK & Ireland Occupational & Environmental Epidemiology meeting"
"Atmospheric conditions and composition that influence PM2. 5 oxidative potential in Beijing, China","J Bloss, M Loh, MR Miller, Z Shi, M Kalberer","Studies","55",0,2019,NA,NA,"J Bloss, M Loh, MR Miller, Z Shi, M Kalberer (2019) Atmospheric conditions and composition that influence PM2. 5 oxidative potential in Beijing, China.Studies, 55"
"Modeling Exposure Reduction for Personal Level Interventions","M Loh, C Lin, J Cherrie, P Wilkinson","ISEE Conference Abstracts","2018 (1)",0,2018,NA,NA,"M Loh, C Lin, J Cherrie, P Wilkinson (2018) Modeling Exposure Reduction for Personal Level Interventions.ISEE Conference Abstracts, 2018 (1)"
"Long-Term Trends of Air Pollution in Thailand and Effects on Health","W Mueller, S Steinle, M Loh, S Vardoulakis, N Precha, W Kliengchuay, ...","ISEE Conference Abstracts","2018 (1)",0,2018,NA,NA,"W Mueller, S Steinle, M Loh, S Vardoulakis, N Precha, W Kliengchuay, ... (2018) Long-Term Trends of Air Pollution in Thailand and Effects on Health.ISEE Conference Abstracts, 2018 (1)"
"<U+9996><U+9875>» <U+6587><U+7AE0>» <U+6587><U+7AE0><U+8BE6><U+7EC6><U+4FE1><U+606F>","MJ Kerins, J Milligan, JA Wohlschlegel, A Ooi","Cancer Science","109 (9)",0,2018,NA,NA,"MJ Kerins, J Milligan, JA Wohlschlegel, A Ooi (2018) » » .Cancer Science, 109 (9)"
"Aggregated Exposure Estimates for Fine Particulate Matter from Indoor and Outdoor Sources-and beyond","P Fantke, O Jolliet, N Hodas, JS Apte, M Loh, TE McKone","Inhaled Particles XII (IPXII)","2017",0,2017,NA,NA,"P Fantke, O Jolliet, N Hodas, JS Apte, M Loh, TE McKone (2017) Aggregated Exposure Estimates for Fine Particulate Matter from Indoor and Outdoor Sources-and beyond.Inhaled Particles XII (IPXII), 2017"
"Response to García-Nieto et al. Comments on Beamer et al. Association of Children’s Urinary CC16 Levels with Arsenic Concentrations in Multiple Environmental Media. Int. J …","PI Beamer, WT Klimecki, M Loh, YO Van Horne, AJ Sugeng, N Lothrop, ...","International journal of environmental research and public health","13 (10), 978",0,2016,NA,NA,"PI Beamer, WT Klimecki, M Loh, YO Van Horne, AJ Sugeng, N Lothrop, ... (2016) Response to García-Nieto et al. Comments on Beamer et al. Association of Childrens Urinary CC16 Levels with Arsenic Concentrations in Multiple Environmental Media. Int. J .International journal of environmental research and public health, 13 (10), 978"
"Assessing external exposure in a large European survey of children and their parents","J Cherrie, M Loh, A Pronk, C Schieberle, T Maggos, J Bartzis, JO Grimalt, ...","","3rd UK & Ireland Exposure Science meeting",0,2015,NA,NA,"J Cherrie, M Loh, A Pronk, C Schieberle, T Maggos, J Bartzis, JO Grimalt, ... (2015) Assessing external exposure in a large European survey of children and their parents., 3rd UK & Ireland Exposure Science meeting"
"A Comparison Study of Location and Activity Monitoring For Exposure Studies","M Loh, J Cherrie, A Pronk, E Kuijpers, C Schieberle, A Stamatelopoulou, ...","ISES Annual meeting","",0,2014,NA,NA,"M Loh, J Cherrie, A Pronk, E Kuijpers, C Schieberle, A Stamatelopoulou, ... (2014) A Comparison Study of Location and Activity Monitoring For Exposure Studies.ISES Annual meeting, "
"INTEGRATED ENVIRONMENTAL HEALTH IMPACT ASSESSMENT BASED ON PERSONAL EXPOSURE TO PM2. 5","A Kuhn, L Gerharz, M Loh, A Yang, AS Jiménez, A Knol, A Hunt, M Blesl, ...","ISEE Conference Abstracts","",0,2011,NA,NA,"A Kuhn, L Gerharz, M Loh, A Yang, AS Jiménez, A Knol, A Hunt, M Blesl, ... (2011) INTEGRATED ENVIRONMENTAL HEALTH IMPACT ASSESSMENT BASED ON PERSONAL EXPOSURE TO PM2. 5.ISEE Conference Abstracts, "
"Trichloroethylene in the United States: Embracing Market-Based Approaches?","M Loh, RD Morgenstern","Choosing Environmental Policy","234-251",0,2010,NA,NA,"M Loh, RD Morgenstern (2010) Trichloroethylene in the United States: Embracing Market-Based Approaches?.Choosing Environmental Policy, 234-251"
"Occupational and consumer risk estimates for nanoparticles emitted by laser printers.","I BrÃ¼ske-Hohlfeld, M Loh, T Stoeger, W Kreyling, O Schmid, A Peters","Journal of Nanoparticle Research","12 (1)",0,2010,NA,NA,"I BrÃ¼ske-Hohlfeld, M Loh, T Stoeger, W Kreyling, O Schmid, A Peters (2010) Occupational and consumer risk estimates for nanoparticles emitted by laser printers..Journal of Nanoparticle Research, 12 (1)"
"Contribution des magasins et des restaurants à l'exposition aux composés organiques volatils","MM LOH, EA HOUSEMAN, JI LEVY","Environnement risques & santé","9 (4), 272-273",0,2010,NA,NA,"MM LOH, EA HOUSEMAN, JI LEVY (2010) Contribution des magasins et des restaurants à l'exposition aux composés organiques volatils.Environnement risques & santé, 9 (4), 272-273"
"EnviRisk. Report providing an economic assessment of protocols looking at available options.","HY Liu, A Bartonova, M Loh, L Palkovicova, R Sram","NILU OR","",0,2009,NA,NA,"HY Liu, A Bartonova, M Loh, L Palkovicova, R Sram (2009) EnviRisk. Report providing an economic assessment of protocols looking at available options..NILU OR, "
"EnviRisk. Review of databases, modelling methods and tools for exposure assessment.","A Asikainen, M Loh, M Jantunen, K Bruusgaard, HY Liu, A Bartonova","NILU OR","",0,2009,NA,NA,"A Asikainen, M Loh, M Jantunen, K Bruusgaard, HY Liu, A Bartonova (2009) EnviRisk. Review of databases, modelling methods and tools for exposure assessment..NILU OR, "
"Estimation of health risks and safety margins to inhalation of ultrafine particles and nanoparticles in selected occupational, consumer and environmental settings","O Hänninen, I Brýske-Hohlfeld, M Loh, T Stoeger, W Kreyling, O Schmid, ...","IOP Publishing Ltd","",0,2009,NA,NA,"O Hänninen, I Brýske-Hohlfeld, M Loh, T Stoeger, W Kreyling, O Schmid, ... (2009) Estimation of health risks and safety margins to inhalation of ultrafine particles and nanoparticles in selected occupational, consumer and environmental settings.IOP Publishing Ltd, "
"Intake fraction for benzene traffic emissions in Helsinki","J Soares, M Loh, A Karppinen, L Kangas, K Riikonen, M Jantunen, ...","Highway and Urban Environment","71-77",0,2009,NA,NA,"J Soares, M Loh, A Karppinen, L Kangas, K Riikonen, M Jantunen, ... (2009) Intake fraction for benzene traffic emissions in Helsinki.Highway and Urban Environment, 71-77"
"Body Burdens of HpCDF Released from an Industrial Source in Southern Finland","MJ Jantunen, H Kiviranta, M Loh, M Valentini","Epidemiology","19 (6), S207",0,2008,NA,NA,"MJ Jantunen, H Kiviranta, M Loh, M Valentini (2008) Body Burdens of HpCDF Released from an Industrial Source in Southern Finland.Epidemiology, 19 (6), S207"
"Exposure Scenarios for Environmental Health Policy Assessments","M Loh, M Jantunen","Epidemiology","19 (6), S66",0,2008,NA,NA,"M Loh, M Jantunen (2008) Exposure Scenarios for Environmental Health Policy Assessments.Epidemiology, 19 (6), S66"
"Commuter Exposures to Vocs in Various Transportation Modes","M Loh, DH Bennett","Epidemiology","17 (6), S53",0,2006,NA,NA,"M Loh, DH Bennett (2006) Commuter Exposures to Vocs in Various Transportation Modes.Epidemiology, 17 (6), S53"
"Impact on exposure of pollutants released in the indoor environment","M Loh, DH Bennett","VOL. I-Indoor Air Quality (IAQ), building related diseases and human …","",0,2006,NA,NA,"M Loh, DH Bennett (2006) Impact on exposure of pollutants released in the indoor environment.VOL. I-Indoor Air Quality (IAQ), building related diseases and human , "
"Cardiopulmonary Benefits of Respirator Intervention Against Ambient Particulate Matters in Healthy Young Adults: A Randomized, Blinded, Crossover, Multi-City Study","W Niu, W Wang, C Huang, Z Zhang, L Ma, R Li, J Cherrie, MR Miller, ...","Blinded, Crossover, Multi-City Study","",0,NA,NA,NA,"W Niu, W Wang, C Huang, Z Zhang, L Ma, R Li, J Cherrie, MR Miller, ... (NA) Cardiopulmonary Benefits of Respirator Intervention Against Ambient Particulate Matters in Healthy Young Adults: A Randomized, Blinded, Crossover, Multi-City Study.Blinded, Crossover, Multi-City Study, "
"Estimating individual exposure by human monitoring","NI Pitaraki, EI Tolis, IA Sakellaris, MA Siarga, A Pronk, M Loh, J Cherrie, ...","","",0,NA,NA,NA,"NI Pitaraki, EI Tolis, IA Sakellaris, MA Siarga, A Pronk, M Loh, J Cherrie, ... (NA) Estimating individual exposure by human monitoring., "
"D1. 1 Can Sensor Technologies Really Define the Exposome?","M Loh, D Sarigiannis, A Gotti, S Karakitsios, A Pronk, E Kuijpers, ...","","",0,NA,NA,NA,"M Loh, D Sarigiannis, A Gotti, S Karakitsios, A Pronk, E Kuijpers, ... (NA) D1. 1 Can Sensor Technologies Really Define the Exposome?., "
"Report providing an economic assessment of protocols looking at available options","HY Liu, A Bartonova, M Loh, L Palkovicová, R Šrám","","",0,NA,NA,NA,"HY Liu, A Bartonova, M Loh, L Palkoviová, R rám (NA) Report providing an economic assessment of protocols looking at available options., "
"Modelling personal exposure to PM","A Kuhn, L Gerharz, A Yang, M Loh, AS Jimenez, ST Ortiz, J Roos, ...","","",0,NA,NA,NA,"A Kuhn, L Gerharz, A Yang, M Loh, AS Jimenez, ST Ortiz, J Roos, ... (NA) Modelling personal exposure to PM., "
"The effectiveness of recycling policy options: waste diversion or just diversions?","W Mueller","Waste management","33 (3), 508-518",103,2013,"5703689525547523274",NA,"W Mueller (2013) The effectiveness of recycling policy options: waste diversion or just diversions?.Waste management, 33 (3), 508-518"
"The effectiveness of respiratory protection worn by communities to protect from volcanic ash inhalation. Part I: Filtration efficiency tests","W Mueller, CJ Horwell, A Apsley, S Steinle, S McPherson, JW Cherrie, ...","International journal of hygiene and environmental health","221 (6), 967-976",66,2018,"9111169044224111309",NA,"W Mueller, CJ Horwell, A Apsley, S Steinle, S McPherson, JW Cherrie, ... (2018) The effectiveness of respiratory protection worn by communities to protect from volcanic ash inhalation. Part I: Filtration efficiency tests.International journal of hygiene and environmental health, 221 (6), 967-976"
"The effectiveness of respiratory protection worn by communities to protect from volcanic ash inhalation. Part II: Total inward leakage tests","S Steinle, A Sleeuwenhoek, W Mueller, CJ Horwell, A Apsley, A Davis, ...","International journal of hygiene and environmental health","221 (6), 977-984",60,2018,"53044356200142916",NA,"S Steinle, A Sleeuwenhoek, W Mueller, CJ Horwell, A Apsley, A Davis, ... (2018) The effectiveness of respiratory protection worn by communities to protect from volcanic ash inhalation. Part II: Total inward leakage tests.International journal of hygiene and environmental health, 221 (6), 977-984"
"Total recall in the SCAMP cohort: validation of self-reported mobile phone use in the smartphone era","MO Mireku, W Mueller, C Fleming, I Chang, I Dumontheil, MSC Thomas, ...","Environmental research","161, 1-8",29,2018,"9626852351048469336",NA,"MO Mireku, W Mueller, C Fleming, I Chang, I Dumontheil, MSC Thomas, ... (2018) Total recall in the SCAMP cohort: validation of self-reported mobile phone use in the smartphone era.Environmental research, 161, 1-8"
"Cancer incidence among workers with blood lead measurements in two countries","K Steenland, V Barry, A Anttila, M Sallmen, W Mueller, P Ritchie, ...","Occupational and environmental medicine","76 (9), 603-610",24,2019,"2825850354835101998",NA,"K Steenland, V Barry, A Anttila, M Sallmen, W Mueller, P Ritchie, ... (2019) Cancer incidence among workers with blood lead measurements in two countries.Occupational and environmental medicine, 76 (9), 603-610"
"Lifetime exposure to rubber dusts, fumes and N-nitrosamines and cancer mortality in a cohort of British rubber workers with 49 years follow-up","M Hidajat, DM McElvenny, P Ritchie, A Darnton, W Mueller, ...","Occupational and Environmental Medicine","76 (4), 250-258",22,2019,"79067534794136262",NA,"M Hidajat, DM McElvenny, P Ritchie, A Darnton, W Mueller, ... (2019) Lifetime exposure to rubber dusts, fumes and N-nitrosamines and cancer mortality in a cohort of British rubber workers with 49 years follow-up.Occupational and Environmental Medicine, 76 (4), 250-258"
"Assessing progress in protecting non-smokers from secondhand smoke","S Semple, W Mueller, AH Leyland, L Gray, JW Cherrie","Tobacco Control","28 (6), 692-695",16,2019,"16413824898647920481",NA,"S Semple, W Mueller, AH Leyland, L Gray, JW Cherrie (2019) Assessing progress in protecting non-smokers from secondhand smoke.Tobacco Control, 28 (6), 692-695"
"Health Interventions in Volcanic Eruptions—community wearability assessment of respiratory protection against volcanic ash from Mt Sinabung, Indonesia","KS Galea, J Covey, S Mutia Timur, CJ Horwell, F Nugroho, W Mueller","International journal of environmental research and public health","15 (11), 2359",12,2018,"2876090116462090312",NA,"KS Galea, J Covey, S Mutia Timur, CJ Horwell, F Nugroho, W Mueller (2018) Health Interventions in Volcanic Eruptionscommunity wearability assessment of respiratory protection against volcanic ash from Mt Sinabung, Indonesia.International journal of environmental research and public health, 15 (11), 2359"
"British rubber and cable industry cohort: 49-year mortality follow-up","DM McElvenny, W Mueller, P Ritchie, JW Cherrie, M Hidajat, AJ Darnton, ...","Occupational and Environmental Medicine","75 (12), 848-855",11,2018,"3856055255318970043",NA,"DM McElvenny, W Mueller, P Ritchie, JW Cherrie, M Hidajat, AJ Darnton, ... (2018) British rubber and cable industry cohort: 49-year mortality follow-up.Occupational and Environmental Medicine, 75 (12), 848-855"
"Health impact assessment of volcanic ash inhalation: A comparison with outdoor air pollution methods","W Mueller, H Cowie, CJ Horwell, F Hurley, PJ Baxter","GeoHealth","4 (7), e2020GH000256",9,2020,"934814891515258919",NA,"W Mueller, H Cowie, CJ Horwell, F Hurley, PJ Baxter (2020) Health impact assessment of volcanic ash inhalation: A comparison with outdoor air pollution methods.GeoHealth, 4 (7), e2020GH000256"
"Evaluation of two-year recall of self-reported pesticide exposure among Ugandan smallholder farmers","W Mueller, A Atuhaire, R Mubeezi, I van den Brenk, H Kromhout, ...","International journal of hygiene and environmental health","240, 113911",5,2022,"8938244384959360363",NA,"W Mueller, A Atuhaire, R Mubeezi, I van den Brenk, H Kromhout, ... (2022) Evaluation of two-year recall of self-reported pesticide exposure among Ugandan smallholder farmers.International journal of hygiene and environmental health, 240, 113911"
"Lifetime cumulative exposure to rubber dust, fumes and N-nitrosamines and non-cancer mortality: a 49-year follow-up of UK rubber factory workers","M Hidajat, DM McElvenny, P Ritchie, A Darnton, W Mueller, RM Agius, ...","Occupational and Environmental Medicine","77 (5), 316-323",4,2020,"11884530766559405254",NA,"M Hidajat, DM McElvenny, P Ritchie, A Darnton, W Mueller, RM Agius, ... (2020) Lifetime cumulative exposure to rubber dust, fumes and N-nitrosamines and non-cancer mortality: a 49-year follow-up of UK rubber factory workers.Occupational and Environmental Medicine, 77 (5), 316-323"
"Job-exposure matrix for historical exposures to rubber dust, rubber fumes and n-Nitrosamines in the British rubber industry","M Hidajat, DM McElvenny, W Mueller, P Ritchie, JW Cherrie, A Darnton, ...","Occupational and environmental medicine","76 (4), 259-267",4,2019,"1781391383842298197",NA,"M Hidajat, DM McElvenny, W Mueller, P Ritchie, JW Cherrie, A Darnton, ... (2019) Job-exposure matrix for historical exposures to rubber dust, rubber fumes and n-Nitrosamines in the British rubber industry.Occupational and environmental medicine, 76 (4), 259-267"
"Childhood leukemia and proximity to nuclear power plants: A systematic review and meta-analysis","W Mueller, C Gilham","Journal of Cancer Policy","6, 44-56",4,2015,"14103581929506484051",NA,"W Mueller, C Gilham (2015) Childhood leukemia and proximity to nuclear power plants: A systematic review and meta-analysis.Journal of Cancer Policy, 6, 44-56"
"Exposure to ambient particulate matter and biomass burning during pregnancy: associations with birth weight in Thailand","W Mueller, K Tantrakarnapa, HJ Johnston, M Loh, S Steinle, ...","Journal of Exposure Science & Environmental Epidemiology","31 (4), 672-682",2,2021,"14868948857487480493",NA,"W Mueller, K Tantrakarnapa, HJ Johnston, M Loh, S Steinle, ... (2021) Exposure to ambient particulate matter and biomass burning during pregnancy: associations with birth weight in Thailand.Journal of Exposure Science & Environmental Epidemiology, 31 (4), 672-682"
"Standardized epidemiological protocols for populations affected by volcanic eruptions","W Mueller, H Cowie, CJ Horwell, PJ Baxter, D McElvenny, M Booth, ...","Bulletin of the World Health Organization","98 (5), 362",2,2020,"10976017724554403520",NA,"W Mueller, H Cowie, CJ Horwell, PJ Baxter, D McElvenny, M Booth, ... (2020) Standardized epidemiological protocols for populations affected by volcanic eruptions.Bulletin of the World Health Organization, 98 (5), 362"
"Laboratory validation and field assessment of Petroleum Laboratory Technicians’ dermal exposure to crude oil using a wipe sampling method","KS Galea, W Mueller, AM Arfaj, JL Llamas, J Buick, D Todd, C McGonagle","Annals of Work Exposures and Health","62 (6), 733-741",2,2018,"4295477429446489553",NA,"KS Galea, W Mueller, AM Arfaj, JL Llamas, J Buick, D Todd, C McGonagle (2018) Laboratory validation and field assessment of Petroleum Laboratory Technicians dermal exposure to crude oil using a wipe sampling method.Annals of Work Exposures and Health, 62 (6), 733-741"
"Recall of exposure in UK farmers and pesticide applicators: trends with follow-up time","W Mueller, K Jones, H Mohamed, N Bennett, AH Harding, G Frost, ...","Annals of Work Exposures and Health","66 (6), 754-767",1,2022,"9862290262180579440",NA,"W Mueller, K Jones, H Mohamed, N Bennett, AH Harding, G Frost, ... (2022) Recall of exposure in UK farmers and pesticide applicators: trends with follow-up time.Annals of Work Exposures and Health, 66 (6), 754-767"
"Longitudinal changes in proportionate mortality due to COVID-19 by occupation in England and Wales","M Cherrie, S Rhodes, J Wilkinson, W Mueller, V Nafilyan, ...","Scandinavian Journal of Work, Environment & Health","4048-4048",0,2022,NA,NA,"M Cherrie, S Rhodes, J Wilkinson, W Mueller, V Nafilyan, ... (2022) Longitudinal changes in proportionate mortality due to COVID-19 by occupation in England and Wales.Scandinavian Journal of Work, Environment & Health, 4048-4048"
"Healthy worker effects explain differences in internal and external comparisons in a rubber industry cohort study","M Hidajat, DM McElvenny, P Ritchie, A Darnton, W Mueller, ...","Occupational and Environmental Medicine","76 (10), 781-781",0,2019,NA,NA,"M Hidajat, DM McElvenny, P Ritchie, A Darnton, W Mueller, ... (2019) Healthy worker effects explain differences in internal and external comparisons in a rubber industry cohort study.Occupational and Environmental Medicine, 76 (10), 781-781"
"Total recall in the SCAMP Cohort: Validation of self-reported mobile phone use in the smartphone era","MB Toledano, W Mueller, C Fleming, I Chang, I Dumontheil, MSC Thomas, ...","Elsevier","",0,2018,NA,NA,"MB Toledano, W Mueller, C Fleming, I Chang, I Dumontheil, MSC Thomas, ... (2018) Total recall in the SCAMP Cohort: Validation of self-reported mobile phone use in the smartphone era.Elsevier, "
"Mobile Phones, Wireless Technologies and Cognitive and Behavioural Outcomes in the SCAMP Adolescent Cohort","C Fleming, I Chang, W Mueller, I Dumontheil, M Thomas, M Roosli, ...","ISEE Conference Abstracts","",0,2016,NA,NA,"C Fleming, I Chang, W Mueller, I Dumontheil, M Thomas, M Roosli, ... (2016) Mobile Phones, Wireless Technologies and Cognitive and Behavioural Outcomes in the SCAMP Adolescent Cohort.ISEE Conference Abstracts, "
